Subsystems,Pathways,Increased,Decreased,Reversed,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
"2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Nitrogen disposal; Taurine And Hypotaurine Metabolism",Arginine Biosynthesis,4,0,0,0,0,1,ALATA__L (1.40); ASPTA (1.40); GLUDxm (1.85); r0034 (1.40),,,,,GLUNm (0.98),5,1.1191993893119447,0.8382228642993196,0.28097652501262516,0.05619530500252503
"2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Biosynthesis Of Amino Acids; Central Energy Metabolism; AA central (A/D/E,G/S/T); Glyoxylate And Dicarboxylate Metabolism; BCAA metabolism (Val/Leu/Iso); Pantothenate And Coa Biosynthesis; Lysine Biosynthesis",2-oxocarboxylic Acid Metabolism,7,3,0,0,0,3,ACONTm (2.64); AKGDm (1.42); ALATA__L (1.40); ASPTA (1.40); CSm (2.64); ICDHxm (2.64); PDHm (3.59),2OXOADOXm (0.18); VALTA (0.79); r0450 (0.18),,,,ILETA (0.91); PHETA1 (1.05); PHETA1m (1.05),13,23.463865350231572,20.681066953516552,2.7827983967150196,0.2140614151319246
2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Biosynthesis Of Amino Acids; Lysine Biosynthesis,Lysine Metabolism,0,5,0,0,0,0,,2OXOADOXm (0.18); SACCD3m (0.18); r0450 (0.18); r0525 (0.18); r0594m (0.18),,,,,5,0.032303503896691,0.1845135924611345,-0.1522100885644435,-0.0304420177128887
2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; Central Energy Metabolism; Terpenoid Backbone Biosynthesis; BCAA metabolism (Val/Leu/Iso),Tryptophan Metabolism,5,5,0,0,0,0,3HKYNAKGAT (1.40); FKYNH (1.40); KYN3OX (1.40); TRPO2 (1.40); r0647 (1.40),2OXOADOXm (0.18); ACACT1r (0.18); ECOAH1m (0.18); HACD1m (0.18); r0541 (0.18),,,,,10,0.07946889802073451,0.2181889498483857,-0.13872005182765118,-0.013872005182765119
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),Phenylalanine Metabolism,0,0,0,0,0,2,,,,,,PHETA1 (1.05); PHETA1m (1.05),2,19.922670167521524,18.898600163572553,1.024070003948971,0.5120350019744855
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),"Phenylalanine, Tyrosine And Tryptophan Biosynthesis",0,0,0,0,0,2,,,,,,PHETA1 (1.05); PHETA1m (1.05),2,19.922670167521524,18.898600163572553,1.024070003948971,0.5120350019744855
"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Cyanoamino Acid Metabolism; Folate Metabolism; BCAA metabolism (Val/Leu/Iso); AAA metabolism (Trp/Phe/Tyr); Redox & Pentose Metabolism; Nitrogen disposal; Pantothenate And Coa Biosynthesis; Lysine Biosynthesis",Biosynthesis Of Amino Acids,9,5,0,0,1,7,ACONTm (2.64); ALATA__L (1.40); ASPTA (1.40); CSm (2.64); ICDHxm (2.64); PCm (2.64); PRPPS (1.40); RPI (1.40); r0034 (1.40),GHMT2rm (0.00); PGCD (0.00); PSERT (0.00); VALTA (0.79); r0450 (0.18),,,PRO1xm (2000.00),ENO (1.04); ILETA (0.91); PGK (1.00); PGM (1.04); PHETA1 (1.05); PHETA1m (1.05); PYK (1.04),22,62.158039496933384,59.84441844812223,2.3136210488111573,0.10516459312777987
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Propanoate Metabolism,Citric Acid Cycle,7,1,0,0,0,2,ACONTm (2.64); AKGDm (1.42); CSm (2.64); ICDHxm (2.64); PCm (2.64); SUCOASm (1.37); r0509 (1.37),MDH (0.06),,,,FUM (1.07); FUMm (1.09),10,32.12444582298184,28.37937279099268,3.745073031989161,0.3745073031989161
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis; AA other (Cys/Met/Lys/Arg/Pro),Lysine Biosynthesis,0,1,0,0,0,0,,r0450 (0.18),,,,,1,0.0064607007793382,0.0369027184922269,-0.0304420177128887,-0.0304420177128887
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Pantothenate And Coa Biosynthesis; BCAA metabolism (Val/Leu/Iso),Pantothenate And Coa Biosynthesis,0,1,0,0,0,0,,VALTA (0.79),,,,,1,0.0255964179681771,0.0325762222105499,-0.006979804242372798,-0.006979804242372798
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Nitrogen disposal",Urea Cycle,1,0,0,0,0,0,r0034 (1.40),,,,,,1,0.0036683634928007,0.0026191544448734,0.0010492090479272999,0.0010492090479272999
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism",Taurine And Hypotaurine Metabolism,1,0,0,0,0,0,GLUDxm (1.85),,,,,,1,0.5969992705492106,0.3223440432414624,0.2746552273077483,0.2746552273077483
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism; Biosynthesis Of Amino Acids",Nitrogen Metabolism,5,0,0,0,0,0,GLUDxm (1.85); r0034 (1.40); r1418 (3.59); r1418c (1.39); r1418m (2.50),,,,,,5,3.805972555262886,2.389192177275043,1.416780377987843,0.2833560755975686
"AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Methane Metabolism",Cysteine And Methionine Metabolism,0,2,0,0,0,0,,PGCD (0.00); PSERT (0.00),,,,,2,0.0008407507088376,0.7480078767338273,-0.7471671260249897,-0.37358356301249485
"AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism",Cyanoamino Acid Metabolism,0,1,0,0,0,0,,GHMT2rm (0.00),,,,,1,0.0004203753544188,0.3740039383669137,-0.3735835630124949,-0.3735835630124949
"AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism","Glycine, Serine And Threonine Metabolism",0,6,0,0,0,5,,GCC2am (0.00); GCC2bim (0.00); GHMT2rm (0.00); PGCD (0.00); PSERT (0.00); PSP__Lm (0.00),,,,PGM (1.04); r0552 (0.96); r0552m (1.00); r0553 (0.96); r0553m (1.00),11,16.916419724005706,18.932034459178404,-2.015614735172697,-0.18323770319751792
"AA central (A/D/E,G/S/T); Nucleotide metabolism",Pyrimidine Metabolism,13,0,0,0,0,0,ASPCTr (1.40); CTPS2 (1.40); CYTDK1 (1.40); CYTK1 (1.40); CYTK1m (1.40); NDPK3m (1.40); NDPK4n (1.40); NDPK6m (1.40); NTD2 (1.40); OMPDC (1.40); ORPT (1.40); PYNP2r (1.40); URIDK2 (1.40),,,,,,13,0.0727326472002179,0.051929978197067905,0.02080266900314999,0.0016002053079346146
"AA central (A/D/E,G/S/T); Nucleotide metabolism",Pyrimidine Synthesis,6,0,0,0,0,0,ASPCTr (1.40); CTPS2 (1.40); DHORTS (1.40); OMPDC (1.40); ORPT (1.40); RE0452M (1.40),,,,,,6,0.028458714872368302,0.0203190795293413,0.008139635343027002,0.0013566058905045003
"AA central (A/D/E,G/S/T); Nucleotide metabolism; Nitrogen disposal; 2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Taurine And Hypotaurine Metabolism","Alanine, Aspartate And Glutamate Metabolism",8,6,0,0,1,5,ADSL1 (1.40); ADSS (1.40); ALATA__L (1.40); ASPCTr (1.40); ASPTA (1.40); GLUDxm (1.85); GLUPRT (1.40); r0034 (1.40),GCC2am (0.00); GCC2bim (0.00); GHMT2rm (0.00); PGCD (0.00); PSERT (0.00); PSP__Lm (0.00),,,P5CDm (2000.00),GLUNm (0.98); r0552 (0.96); r0552m (1.00); r0553 (0.96); r0553m (1.00),20,8.090614058466075,10.221583053278806,-2.130968994812731,-0.10654844974063656
AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids,Arginine And Proline Metabolism,0,0,0,0,1,0,,,,,PRO1xm (2000.00),,1,0.0,0.0383563979184344,-0.0383563979184344,-0.0383563979184344
Ascorbate And Aldarate Metabolism,Ascorbate And Aldarate Metabolism,0,0,0,0,0,1,,,,,,DASCBR (1.05),1,0.0327114095020629,0.0311106518241717,0.0016007576778912028,0.0016007576778912028
BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; Pantothenate And Coa Biosynthesis,"Valine, Leucine And Isoleucine Biosynthesis",0,8,0,0,0,10,,3HBCOAHLm (0.79); ECOAH12m (0.79); HIBDm (0.79); MMSAD1m (0.79); VALTA (0.79); r0385 (0.79); r0560 (0.79); r0561 (0.79),,,,ACACT10m (0.91); ECOAH9m (0.91); HACD9m (0.91); ILETA (0.91); MMEm (0.86); MMMm (0.86); PPCOACm (0.86); r0603 (0.91); r0604 (0.91); r0670 (0.91),18,0.6550079183838935,0.767981800800032,-0.11297388241613848,-0.006276326800896582
BCAA metabolism (Val/Leu/Iso); Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Propanoate Metabolism; Pantothenate And Coa Biosynthesis,"Valine, Leucine And Isoleucine Degradation",0,8,0,0,0,7,,3HBCOAHLm (0.79); AACOAT (0.18); ACACT1r (0.18); ECOAH12m (0.79); HMGCOASim (0.18); HMGLm (0.18); MMSAD1m (0.79); VALTA (0.79),,,,ACACT10m (0.91); ECOAH9m (0.91); HACD9m (0.91); ILETA (0.91); MMEm (0.86); MMMm (0.86); PPCOACm (0.86),15,0.46643085340896817,0.6623947789818915,-0.1959639255729233,-0.013064261704861553
Biomass And Maintenance Functions; Nucleotide metabolism; Nitrogen disposal,Biomass And Maintenance Functions,1,0,0,0,0,1,BIOMASS_maintenance (1.40),,,,,ATPM (1.00),2,18.524021448823934,18.51715094062597,0.006870508197962977,0.0034352540989814884
"Biosynthesis Of Amino Acids; Central Energy Metabolism; Methane Metabolism; AA central (A/D/E,G/S/T); Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro)",Methane Metabolism,0,4,0,0,0,2,,GHMT2rm (0.00); MDH (0.06); PGCD (0.00); PSERT (0.00),,,,ENO (1.04); PGM (1.04),6,19.95494608826328,20.845288429047336,-0.8903423407840556,-0.14839039013067593
"Biosynthesis Of Amino Acids; Central Energy Metabolism; Methane Metabolism; Starch And Sucrose Metabolism; 2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T)",Glycolysis/Gluconeogenesis,2,1,0,0,0,9,PDHm (3.59); PGMT (1.40),GCC2cm (0.14),,,,ENO (1.04); GAPD (1.00); HEX1 (1.00); PFK (1.00); PGI (1.00); PGK (1.00); PGM (1.04); PYK (1.04); TPI (1.00),12,70.41984358040027,69.31471309414016,1.1051304862601086,0.09209420718834238
Butanoate Metabolism; BCAA metabolism (Val/Leu/Iso); Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr),Butanoate Metabolism,0,6,0,0,0,0,,AACOAT (0.18); ACACT1r (0.18); ECOAH1m (0.18); HACD1m (0.18); HMGCOASim (0.18); HMGLm (0.18),,,,,6,0.038764204676029194,0.2214163109533614,-0.1826521062773322,-0.030442017712888698
Butanoate Metabolism; Lipid metabolism; BCAA metabolism (Val/Leu/Iso),Cholesterol Metabolism,0,1,0,0,0,0,,HMGLm (0.18),,,,,1,0.0064607007793382,0.0369027184922269,-0.0304420177128887,-0.0304420177128887
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso),Terpenoid Backbone Biosynthesis,0,2,0,0,0,0,,ACACT1r (0.18); HMGCOASim (0.18),,,,,2,0.0129214015586764,0.0738054369844538,-0.0608840354257774,-0.0304420177128887
"Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AA central (A/D/E,G/S/T); Cyanoamino Acid Metabolism; Folate Metabolism; Methane Metabolism; Propanoate Metabolism",Glyoxylate And Dicarboxylate Metabolism,1,3,0,0,0,3,CSm (2.64),ACACT1r (0.18); GHMT2rm (0.00); MDH (0.06),,,,MMEm (0.86); MMMm (0.86); PPCOACm (0.86),7,0.7874947124500198,1.37044762222519,-0.5829529097751702,-0.0832789871107386
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis,Lysine Degradation,0,6,0,0,0,0,,ACACT1r (0.18); ECOAH1m (0.18); HACD1m (0.18); SACCD3m (0.18); r0450 (0.18); r0525 (0.18),,,,,6,0.038764204676029194,0.2214163109533614,-0.1826521062773322,-0.030442017712888698
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); Propanoate Metabolism,Fatty Acid Degradation,0,3,0,1,1,0,,ACACT1r (0.18); ECOAH1m (0.18); HACD1m (0.18),,ACCOACm (1000.00),ACCOAC (2000.00),,5,0.10983191324874991,0.1752879128375094,-0.0654559995887595,-0.0130911999177519
