PRFGS,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
PRPPS,0.0247583685908111,0.0368299809890556,1.4875770531473869,Increased,"['Biosynthesis Of Amino Acids', 'Pentose Phosphate Pathway', 'Purine Metabolism']",Biosynthesis Of Amino Acids; Pentose Phosphate Pathway; Purine Metabolism,"['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Redox & Pentose Metabolism', 'Nitrogen disposal']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); Redox & Pentose Metabolism; Nitrogen disposal"
PUNP1,0.0008039132361065,0.0011958828827493,1.487577053142179,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
PUNP2,-0.0008039132361065,-0.0011958828827494,1.4875770531423034,Increased,"['Nucleotide Metabolism', 'Purine Catabolism', 'Purine Metabolism']",Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,"['Nucleotide metabolism', 'Purine Catabolism', 'Nitrogen disposal']",Nucleotide metabolism; Purine Catabolism; Nitrogen disposal
PUNP3,0.0003376435591646,0.0005022708107549,1.4875770531433266,Increased,"['Nucleotide Metabolism', 'Purine Catabolism', 'Purine Metabolism']",Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,"['Nucleotide metabolism', 'Purine Catabolism', 'Nitrogen disposal']",Nucleotide metabolism; Purine Catabolism; Nitrogen disposal
PUNP4,0.0164032064522781,0.0244010335161959,1.4875770531320145,Increased,"['Nucleotide Metabolism', 'Purine Catabolism', 'Purine Metabolism']",Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,"['Nucleotide metabolism', 'Purine Catabolism', 'Nitrogen disposal']",Nucleotide metabolism; Purine Catabolism; Nitrogen disposal
r0034,0.0035076342317799,0.0052178761940122,1.4875770531423005,Increased,"['Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Biosynthesis Of Amino Acids', 'Nitrogen Metabolism', 'Urea Cycle']","Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids; Nitrogen Metabolism; Urea Cycle","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'AA other', 'Nitrogen disposal']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); AA other; Nitrogen disposal"
r0276,1.0432980911652094,1.0078542772298005,0.9660271458027653,Unchanged,"['Nucleotide Metabolism', 'Purine Catabolism', 'Purine Metabolism']",Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,"['Nucleotide metabolism', 'Purine Catabolism', 'Nitrogen disposal']",Nucleotide metabolism; Purine Catabolism; Nitrogen disposal
r1418,0.0441111977321697,0.0243589042706408,0.552215889002628,Decreased,['Nitrogen Metabolism'],Nitrogen Metabolism,['Nitrogen disposal'],Nitrogen disposal
r1418c,-2.4231718392951884,-2.5579538583144665,1.0556221464914686,Unchanged,['Nitrogen Metabolism'],Nitrogen Metabolism,['Nitrogen disposal'],Nitrogen disposal
r1418m,-0.7049348986813142,-0.6638636098995552,0.9417374726962887,Unchanged,['Nitrogen Metabolism'],Nitrogen Metabolism,['Nitrogen disposal'],Nitrogen disposal
ADK1,0.2518323788458034,0.3746200680088918,1.4875770531408559,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
ADSL1,0.0031008081962904,0.0046126911192915,1.4875770532372223,Increased,"['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nucleotide metabolism', 'Nitrogen disposal']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); Nucleotide metabolism; Nitrogen disposal"
ADSL2,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
ADSS,0.0031008081962904,0.0046126911192915,1.4875770532372223,Increased,"['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nucleotide metabolism', 'Nitrogen disposal']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); Nucleotide metabolism; Nitrogen disposal"
AICART,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Folate Metabolism', 'Purine Metabolism', 'Purine Synthesis']",Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Folate Metabolism', 'Nitrogen disposal', 'Nucleotide metabolism']",Folate Metabolism; Nitrogen disposal; Nucleotide metabolism
AIRCr,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
ATPM,18.5,18.5,1.0,Unchanged,"['Biomass And Maintenance Functions', 'Nucleotide Metabolism', 'Purine Metabolism']",Biomass And Maintenance Functions; Nucleotide Metabolism; Purine Metabolism,"['Biomass And Maintenance Functions', 'Nucleotide metabolism', 'Nitrogen disposal']",Biomass And Maintenance Functions; Nucleotide metabolism; Nitrogen disposal
GARFT,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Folate Metabolism', 'Purine Metabolism', 'Purine Synthesis']",Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Folate Metabolism', 'Nitrogen disposal', 'Nucleotide metabolism']",Folate Metabolism; Nitrogen disposal; Nucleotide metabolism
GK1,0.0178122826035759,0.0264971428649968,1.4875770531328407,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
GLUDxm,0.5820691757284773,0.334137441710495,0.5740510847225535,Decreased,"['Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Nitrogen Metabolism', 'Taurine And Hypotaurine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Nitrogen Metabolism; Taurine And Hypotaurine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'AA other', 'Nitrogen disposal', 'Taurine And Hypotaurine Metabolism']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); AA other; Nitrogen disposal; Taurine And Hypotaurine Metabolism"
GLUPRT,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Alanine, Aspartate And Glutamate Metabolism', 'Purine Metabolism', 'Purine Synthesis']","Alanine, Aspartate And Glutamate Metabolism; Purine Metabolism; Purine Synthesis","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nitrogen disposal', 'Nucleotide metabolism']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); Nitrogen disposal; Nucleotide metabolism"
GMPR,1.0418890150139115,1.0057581678809997,0.9653217889695963,Unchanged,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
GUAPRT,0.0167408500114427,0.0249033043269508,1.4875770531322428,Increased,"['Nucleotide Metabolism', 'Nucleotide Salvage Pathway', 'Purine Metabolism']",Nucleotide Metabolism; Nucleotide Salvage Pathway; Purine Metabolism,"['Nucleotide metabolism', 'Nucleotide Salvage Pathway', 'Nitrogen disposal']",Nucleotide metabolism; Nucleotide Salvage Pathway; Nitrogen disposal
IMPC,-0.0045098843475884,-0.0067088004680924,1.4875770532075485,Increased,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
NDPK1,0.0039303777491035,0.0058467397500418,1.4875770532171906,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
NDPK10,0.0008039132361065,0.0011958828829768,1.4875770534251698,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
NDPK10n,-0.0008039132361065,-0.0011958828829768,1.4875770534251698,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
